model_name,accuracy,macro_f1,weighted_f1,quadratic_kappa,undertriage_rate,severe_undertriage_rate,overtriage_rate,cost_weighted_error,safety_adjusted_kappa
Baseline LightGBM,0.8866125,0.8963820541698617,0.8867634870951295,0.9453708991832845,0.016145489466418583,0.0,0.06139229472950201,0.20472125000000002,0.8978942713135252
Safety-Weighted LightGBM,0.8860875,0.8973820142143559,0.8867564996054702,0.9455898482710429,0.013744673188884221,0.0,0.04820152245917834,0.23118625,0.8878001125406643
Safety-Weighted XGBoost,0.8841375,0.8955639322136306,0.8848148840229867,0.9447458821443774,0.012664305863993757,0.0,0.04895694113545238,0.23489749999999998,0.8860946461310556
Stacked Ensemble,0.88585,0.8965995959935317,0.8864373497830702,0.9459912649589624,0.011163795690534781,0.0,0.04855017723284328,0.22563874999999997,0.8900427125521423
SafeTriageNet (Final),0.8858125,0.8964595248818309,0.886306545906138,0.9453014016508394,0.011163795690534781,0.0,0.0509617060840258,0.2228875,0.8911403111578939
